time_utc,symbol,side,entry,sl,tp1,tp2,score,result
2026-09-21 03:25,ADAUSDT,LONG,0.2306,0.2251372546329849,0.23879411805052264,0.2469882361010453,4,tp2
2026-09-21 09:03,UNIUSDT,LONG,8.829,8.550419102453569,9.246871346319647,9.664742692639296,4,be
2026-09-21 03:25,TAOUSDT,LONG,268.4,260.1742145719618,280.73867814205727,293.0773562841146,4,tp2
2026-09-21 15:52,ASTERUSDT,LONG,0.76,0.743937568218201,0.7840936476726985,0.8081872953453971,3,sl
2026-09-21 09:03,ONDOUSDT,LONG,0.4409,0.42680278031155233,0.4620458295326716,0.4831916590653431,4,be
2026-09-21 20:09,PHAUSDT,LONG,0.0523,0.04661040229205747,0.06083439656191379,0.06936879312382759,3,sl
2026-09-21 20:09,AAVEUSDT,LONG,145.44,141.6790232801119,151.08146507983218,156.72293015966434,3,sl
2026-09-21 23:21,TRUMPUSDT,LONG,2.195,2.134655702746161,2.285516445880759,2.3760328917615174,3,sl
2026-09-22 06:50,ENAUSDT,LONG,0.2173,0.2082910737407029,0.23081338938894563,0.24432677877789127,3,sl
2026-09-21 23:20,UNIUSDT,LONG,8.988,8.684583076718955,9.443125384921567,9.898250769843134,3,sl
2026-09-22 10:15,SNDKBUSDT,LONG,1776.98,1753.862808583366,1811.6557871249513,1846.3315742499026,3,sl
2026-09-22 12:01,BCHUSDT,LONG,270.5,264.12579284345424,280.0613107348187,289.6226214696373,3,tp2
2026-09-22 01:39,NEARUSDT,LONG,4.312,4.1106080688522155,4.614087896721677,4.9161757934433545,3,be
2026-09-22 01:39,PUMPUSDT,LONG,0.004426,0.004281813467044365,0.004642279799433454,0.004858559598866908,3,be
2026-09-22 11:01,CRCLBUSDT,LONG,94.1,92.07155994772447,97.14266007841329,100.18532015682659,3,be
2026-09-21 23:21,FILUSDT,LONG,0.9951,0.9672866595641965,1.036820010653705,1.0785400213074103,3,be
2026-09-22 12:01,INJUSDT,LONG,7.833,7.587721291898621,8.20091806215207,8.568836124304138,3,sl
2026-09-22 13:01,FETUSDT,LONG,0.2129,0.2042542506231521,0.22586862406527186,0.23883724813054372,3,sl
2026-09-22 14:01,TRUMPUSDT,LONG,2.221,2.154725334656489,2.3204119980152664,2.419823996030533,4,sl
2026-09-22 14:01,LINKUSDT,LONG,13.117,12.835080851924467,13.539878722113302,13.962757444226604,3,sl
2026-09-22 14:01,XLMUSDT,LONG,0.2167,0.21109890350298507,0.2251016447455224,0.23350328949104482,3,sl
2026-09-22 16:01,ONEUSDT,LONG,0.003943,0.003485809847536995,0.0046287852286945085,0.005314570457389017,3,sl
2026-09-22 13:01,PENGUUSDT,LONG,0.009137,0.00876474112190849,0.009695388317137265,0.01025377663427453,3,tp2
2026-09-22 06:50,ZECUSDT,LONG,1487.77,1449.5901546279679,1545.0397680580481,1602.309536116096,3,tp2
2026-09-22 16:01,DASHUSDT,LONG,59.58,57.61832756205414,62.52250865691878,65.46501731383756,3,tp2
2026-09-22 21:01,ARBUSDT,LONG,0.2189,0.21216669830868892,0.22899995253696664,0.23909990507393328,3,tp2
2026-09-22 16:01,UNIUSDT,LONG,9.182,8.723930548779038,9.869104176831444,10.556208353662887,4,tp2
2026-09-22 23:01,INJUSDT,LONG,7.939,7.701556873786561,8.295164689320158,8.651329378640316,3,be
2026-09-21 03:25,WLDUSDT,LONG,0.4394,0.42437298438093407,0.4619405234285989,0.48448104685719784,4,tp1_close
2026-09-22 18:01,AAVEUSDT,LONG,144.22,140.74646390845106,149.4303041373234,154.6406082746468,3,tp2
2026-09-21 09:04,APTUSDT,LONG,0.771,0.7439026518807155,0.8116460221789268,0.8522920443578536,4,tp2
2026-09-23 01:01,ZAMAUSDT,LONG,0.09913,0.09346566344532765,0.1076265048320085,0.11612300966401701,3,be
2026-09-23 04:01,WLDUSDT,LONG,0.469,0.45373323985136504,0.4919001402229523,0.5148002804459046,3,sl
2026-09-23 04:01,LINKUSDT,LONG,13.154,12.900863116464363,13.533705325303455,13.91341065060691,4,sl
2026-09-23 05:01,PEPEUSDT,LONG,5.06e-06,4.88185372435281e-06,5.327219413470786e-06,5.594438826941572e-06,3,sl
2026-09-23 00:01,ONDOUSDT,LONG,0.4413,0.4302531748251678,0.45787023776224833,0.47444047552449664,3,sl
2026-09-23 03:01,TRXUSDT,LONG,0.3447,0.34325484547709967,0.3468677317843505,0.34903546356870097,3,sl
2026-09-23 03:01,BNBUSDT,LONG,793.16,785.078311120303,805.2825333195453,817.4050666390907,3,sl
2026-09-23 00:01,SOLUSDT,LONG,118.57,116.91722411115066,121.049163833274,123.528327666548,3,sl
2026-09-22 15:01,ADAUSDT,LONG,0.2506,0.2432815624812683,0.2615776562780975,0.272555312556195,3,be
2026-09-22 19:02,CRCLBUSDT,LONG,95.44,93.14383051238033,98.88425423142951,102.328508462859,3,sl
2026-09-22 23:01,TRUMPUSDT,LONG,2.219,2.1556862554546266,2.31397061681806,2.40894123363612,3,sl
2026-09-22 18:01,ETHUSDT,LONG,2753.9,2719.932591939106,2804.8511120913413,2855.802224182683,3,sl
2026-09-23 06:01,FETUSDT,LONG,0.2115,0.20466602641258128,0.22175096038112804,0.23200192076225612,3,sl
2026-09-22 15:00,XRPUSDT,LONG,1.5647,1.5244046550869337,1.6251430173695995,1.685586034739199,3,be
2026-09-22 13:01,LTCUSDT,LONG,61.35,60.060825165671645,63.28376225149253,65.21752450298506,3,be
2026-09-22 15:01,AVAXUSDT,LONG,11.033,10.739565477579172,11.473151783631241,11.913303567262481,4,sl
2026-09-23 11:01,ONDOUSDT,LONG,0.4412,0.43063417591697195,0.45704873612454205,0.4728974722490841,3,sl
2026-09-22 19:02,HBARUSDT,LONG,0.09724,0.09405529291637837,0.10201706062543242,0.10679412125086485,3,sl
2026-09-23 02:01,XLMUSDT,LONG,0.2175,0.2124002905301425,0.22514956420478624,0.2327991284095725,3,sl
2026-09-23 03:01,SUIUSDT,LONG,1.0266,0.9979521207177555,1.0695718189233665,1.1125436378467333,3,sl
2026-09-23 10:01,ONEUSDT,LONG,0.003332,0.0029863849450433968,0.003850422582434905,0.00436884516486981,4,sl
2026-09-23 13:01,SNDKBUSDT,LONG,1880.06,1857.074042990814,1914.538935513779,1949.0178710275582,3,sl
2026-09-22 20:01,FILUSDT,LONG,1.0046,0.9740450903374619,1.050432364493807,1.0962647289876142,3,be
2026-09-22 23:01,ENAUSDT,LONG,0.2161,0.20819300323815748,0.22796049514276373,0.2398209902855275,4,sl
2026-09-23 00:01,XPLUSDT,LONG,0.09637,0.09331287311086862,0.10095569033369704,0.1055413806673941,4,sl
2026-09-23 14:01,CRCLBUSDT,LONG,94.84,92.89775056048735,97.75337415926897,100.66674831853794,3,sl
2026-09-23 14:01,DASHUSDT,LONG,64.34,62.13619050336111,67.64571424495834,70.95142848991668,3,sl
2026-09-23 07:01,INJUSDT,LONG,8.029,7.7107853307644545,8.506322003853318,8.983644007706637,3,sl
2026-09-23 04:01,NEARUSDT,LONG,4.386,4.216048342218401,4.640927486672398,4.895854973344797,3,be
2026-09-23 18:01,ENAUSDT,LONG,0.2123,0.20306901927614873,0.22614647108577685,0.2399929421715537,3,sl
